city,SUM of estimated_annual_revenue,AVERAGE of occupancy_rate,COUNTA of id,,,COUNTA of id,SUM of estimated_annual_revenue,AVERAGE of price,AVERAGE of occupancy_rate,AVERAGE of revenue_per_available_day,Professional hosts,,,,,,,host_id,host_name,SUM of estimated_annual_revenue,COUNTA of id,AVERAGE of occupancy_rate,,,,
,,,,,,,19864452,Private Room,Budget,100.00%,"$21,535.00",0.15,,,,,,7012234,Alex,"$26,869.00",1,75.90%,,,,
,,,,,,,17810176,Private Room,Budget,100.00%,"$21,535.00",0.91,,,,,,7169451,Danielle,"$26,862.00",1,18.10%,,,,
,,,,,,,17714534,Private Room,Budget,100.00%,"$21,535.00",0.52,,,,,,34177401,Nick,"$26,840.00",2,43.30%,,,,
,,,,,,,17240128,Private Room,Budget,100.00%,"$21,535.00",-1.42,,,,,,1726057,Kim Fred,"$26,829.00",1,74.20%,,,,
,,,,,,,15270504,Private Room,Budget,100.00%,"$21,535.00",-1.19,,,,,,60300963,Naomi,"$26,820.00",1,49.30%,,,,
,,,,,,,13943930,Private Room,Budget,100.00%,"$21,535.00",9.50,,,,,,135282026,Aoife,"$26,800.00",1,91.80%,,,,
,,,,,,,11258930,Entire Home/Apt,Budget,100.00%,"$21,535.00",-1.09,,,,,,92005586,Robert,"$26,800.00",1,36.70%,,,,
,,,,,,,11013737,Private Room,Budget,100.00%,"$21,535.00",-0.10,,,,,,29477980,Wilson,"$26,789.00",1,82.50%,,,,
,,,,,,,8735800,Private Room,Budget,100.00%,"$21,535.00",-1.29,,,,,,23985616,Catrina,"$26,784.00",1,51.00%,,,,
,,,,,,,8547630,Private Room,Budget,100.00%,"$21,535.00",-0.85,,,,,,32674537,Amy Jesse,"$26,730.00",1,54.20%,,,,
,,,,,,,698882,Private Room,Budget,100.00%,"$21,535.00",-1.15,,,,,,37221403,Gustavo,"$26,720.00",1,91.50%,,,,
,,,,,,,18931110,Hotel Room,Average,21.40%,"$21,528.00",-0.58,,,,,,17286936,Stephanie,"$26,720.00",1,91.50%,,,,
,,,,,,,33428496,Private Room,Budget,78.60%,"$21,525.00",0.03,,,,,,47897719,Lucia,"$26,700.00",1,97.50%,,,,
,,,,,,,21029176,Entire Home/Apt,Budget,90.70%,"$21,515.00",1.46,,,,,,23489610,Mariellen,"$26,700.00",1,97.50%,,,,
,,,,,,,19036101,Entire Home/Apt,Budget,69.30%,"$21,505.00",3.22,,,,,,296130757,Jay,"$26,664.00",1,24.10%,,,,
,,,,,,,14824328,Entire Home/Apt,Budget,23.60%,"$21,500.00",-0.25,,,,,,67134130,Lily,"$26,645.00",1,100.00%,,,,
,,,,,,,33400825,Private Room,Budget,48.20%,"$21,472.00",-0.52,,,,,,47414227,Will,"$26,645.00",1,100.00%,,,,
,,,,,,,31492711,Entire Home/Apt,Average,31.00%,"$21,470.00",2.94,,,,,,11936759,Ashley,"$26,645.00",1,100.00%,,,,
,,,,,,,40310158,Entire Home/Apt,Budget,90.40%,"$21,450.00",1.97,,,,,,9166875,Clara,"$26,645.00",1,100.00%,,,,
,,,,,,,173151,Private Room,Budget,75.30%,"$21,450.00",4.06,,,,,,4940925,Lauren,"$26,645.00",1,100.00%,,,,
,,,,,,,43770967,Entire Home/Apt,Budget,56.40%,"$21,424.00",0.43,,,,,,517772,Faye,"$26,645.00",1,100.00%,,,,
,,,,,,,31632552,Entire Home/Apt,Average,18.60%,"$21,420.00",-0.77,,,,,,35168746,Emmy And Cameron,"$26,643.00",1,87.90%,,,,
,,,,,,,30362759,Entire Home/Apt,Budget,74.20%,"$21,409.00",1.87,,,,,,45143217,R. Scott,"$26,640.00",1,50.70%,,,,
,,,,,,,11851315,Entire Home/Apt,Budget,61.10%,"$21,408.00",5.42,,,,,,3474736,Sam,"$26,640.00",1,60.80%,,,,
,,,,,,,22614350,Entire Home/Apt,Budget,84.90%,"$21,390.00",10.82,,,,,,240491672,Justin,"$26,622.00",1,15.90%,,,,
,,,,,,,34042823,Private Room,Budget,91.50%,"$21,376.00",-0.93,,,,,,6106941,Priya,"$26,600.00",1,72.90%,,,,
,,,,,,,5037508,Private Room,Budget,89.90%,"$21,320.00",2.16,,,,,,204704622,Momoyo,"$26,592.00",2,88.35%,,,,
,,,,,,,42881225,Entire Home/Apt,Budget,51.20%,"$21,318.00",2.25,,,,,,680686,Beatrice John,"$26,580.00",2,28.90%,,,,
,,,,,,,20883727,Private Room,Budget,77.80%,"$21,300.00",3.64,,,,,,91744447,Stephen,"$26,550.00",1,80.80%,,,,
,,,,,,,37219293,Entire Home/Apt,Budget,83.30%,"$21,280.00",1.87,,,,,,195727572,Marsh,"$26,545.00",2,76.30%,,,,
,,,,,,,5372341,Private Room,Budget,89.60%,"$21,255.00",0.64,,,,,,134156931,Maria,"$26,544.00",1,86.60%,,,,
,,,,,,,42232355,Private Room,Budget,75.60%,"$21,252.00",-1.38,,,,,,1105249,Tim,"$26,520.00",2,53.40%,,,,
,,,,,,,25630033,Shared Room,Budget,75.60%,"$21,252.00",-1.40,,,,,,120875011,J. P.,"$26,499.00",1,99.50%,,,,
,,,,,,,21926890,Entire Home/Apt,Budget,25.20%,"$21,252.00",0.10,,,,,,78908096,David And Lara,"$26,488.00",1,82.50%,,,,
,,,,,,,33096717,Entire Home/Apt,Budget,42.50%,"$21,235.00",-1.27,,,,,,88062053,Victor,"$26,484.00",2,52.90%,,,,
,,,,,,,42824167,Entire Home/Apt,Budget,52.90%,"$21,230.00",3.50,,,,,,248725256,Matthew,"$26,471.00",1,28.20%,,,,
,,,,,,,27609260,Entire Home/Apt,Premium,15.10%,"$21,230.00",2.04,,,,,,148990263,Lamonte For Bedagogo,"$26,460.00",1,53.70%,,,,
,,,,,,,10999023,Entire Home/Apt,Budget,77.50%,"$21,225.00",3.86,,,,,,30724172,Estella,"$26,435.00",1,85.20%,,,,
,,,,,,,4783057,Entire Home/Apt,Budget,71.80%,"$21,222.00",2.17,,,,,,4299309,Leslie,"$26,424.00",1,6.60%,,,,
,,,,,,,40035111,Entire Home/Apt,Budget,65.20%,"$21,182.00",0.55,,,,,,191685179,Michael,"$26,418.00",1,97.80%,,,,
,,,,,,,25784166,Entire Home/Apt,Budget,65.20%,"$21,182.00",1.25,,,,,,228884211,Campeche,"$26,400.00",1,12.10%,,,,
,,,,,,,36924592,Private Room,Budget,100.00%,"$21,170.00",-0.86,,,,,,327887824,Erin,"$26,386.00",1,45.80%,,,,
,,,,,,,30156217,Private Room,Budget,100.00%,"$21,170.00",4.60,,,,,,1501859,Belinda,"$26,350.00",1,84.90%,,,,
,,,,,,,23629606,Private Room,Budget,100.00%,"$21,170.00",-0.65,,,,,,38181332,Waikiki Beachfront,"$26,334.00",1,18.10%,,,,
,,,,,,,21620696,Private Room,Budget,100.00%,"$21,170.00",-1.48,,,,,,7969816,Jay,"$26,334.00",1,36.40%,,,,
,,,,,,,20819487,Private Room,Budget,100.00%,"$21,170.00",1.96,,,,,,2249793,Laura,"$26,331.00",1,55.10%,,,,
,,,,,,,4302293,Private Room,Budget,100.00%,"$21,170.00",0.11,,,,,,24643312,Kate,"$26,316.00",1,55.90%,,,,
,,,,,,,39609175,Entire Home/Apt,Budget,55.60%,"$21,112.00",-1.11,,,,,,178726454,Sean,"$26,315.00",1,75.90%,,,,
,,,,,,,35878197,Entire Home/Apt,Budget,99.70%,"$21,112.00",-0.94,,,,,,10134221,Erika,"$26,315.00",1,75.90%,,,,
,,,,,,,19383420,Entire Home/Apt,Budget,62.20%,"$21,111.00",2.01,,,,,,154324699,Turnkey Vacation Rentals,"$26,305.00",5,6.58%,,,,
,,,,,,,15098211,Entire Home/Apt,Premium,18.40%,"$21,105.00",-0.03,,,,,,928640,Carla,"$26,300.00",1,72.10%,,,,
,,,,,,,19923770,Entire Home/Apt,Budget,80.30%,"$21,096.00",1.88,,,,,,98297464,Max,"$26,290.00",1,65.50%,,,,
,,,,,,,24746286,Entire Home/Apt,Budget,50.70%,"$21,090.00",0.43,,,,,,2238256,Jaclyn,"$26,290.00",1,65.50%,,,,
,,,,,,,287845,Entire Home/Apt,Average,31.20%,"$21,090.00",1.31,,,,,,51768939,Rafer,"$26,280.00",1,100.00%,,,,
,,,,,,,32367245,Entire Home/Apt,Budget,96.20%,"$21,060.00",-0.21,,,,,,42295490,C-S,"$26,280.00",1,100.00%,,,,
,,,,,,,15786108,Entire Home/Apt,Budget,99.50%,"$21,054.00",-0.31,,,,,,33521278,Steve,"$26,280.00",1,100.00%,,,,
,,,,,,,39524834,Private Room,Budget,75.90%,"$21,052.00",0.55,,,,,,1753794,Ashish,"$26,280.00",1,100.00%,,,,
,,,,,,,33943576,Entire Home/Apt,Budget,75.90%,"$21,052.00",1.46,,,,,,17844905,Susie,"$26,250.00",1,57.50%,,,,
,,,,,,,2124059,Entire Home/Apt,Budget,24.10%,"$21,032.00",-0.35,,,,,,176043852,Hellen,"$26,196.00",1,97.00%,,,,
,,,,,,,43044580,Entire Home/Apt,Budget,52.30%,"$21,010.00",-0.81,,,,,,42731937,Mentrail,"$26,190.00",1,79.70%,,,,
,,,,,,,27288231,Private Room,Budget,76.70%,"$21,000.00",-0.14,,,,,,7731625,Mac,"$26,190.00",1,79.70%,,,,
,,,,,,,24431527,Entire Home/Apt,Budget,60.50%,"$20,995.00",3.23,,,,,,17032715,Denis,"$26,187.00",1,55.60%,,,,
,,,,,,,22359614,Private Room,Premium,16.40%,"$20,940.00",-1.00,,,,,,127605478,Amber,"$26,180.00",1,32.60%,,,,
,,,,,,,29984761,Entire Home/Apt,Budget,88.20%,"$20,930.00",2.74,,,,,,11630609,Steven And Stephanie,"$26,130.00",1,55.10%,,,,
,,,,,,,9095936,Entire Home/Apt,Budget,25.50%,"$20,925.00",-1.07,,,,,,1028043,Jesse,"$26,125.00",1,75.30%,,,,
,,,,,,,30291459,Entire Home/Apt,Budget,57.30%,"$20,900.00",-1.18,,,,,,239209399,Hilary,"$26,112.00",1,52.60%,,,,
,,,,,,,13152648,Private Room,Budget,75.30%,"$20,900.00",2.34,,,,,,5334035,Byron,"$26,105.00",1,62.20%,,,,
,,,,,,,24628788,Entire Home/Apt,Budget,81.60%,"$20,860.00",-1.01,,,,,,3317450,Angie,"$26,076.00",1,44.90%,,,,
,,,,,,,43506959,Private Room,Budget,95.10%,"$20,820.00",-1.08,,,,,,19920534,Rob Sylvia,"$26,048.00",1,81.10%,,,,
,,,,,,,36735569,Private Room,Budget,100.00%,"$20,805.00",-0.61,,,,,,283454702,Rodney,"$26,040.00",1,51.00%,,,,
,,,,,,,28259822,Private Room,Budget,100.00%,"$20,805.00",1.93,,,,,,177223014,Boris,"$26,040.00",1,76.70%,,,,
,,,,,,,21613807,Entire Home/Apt,Budget,100.00%,"$20,805.00",0.42,,,,,,305342403,Brent,"$26,036.00",2,84.55%,,,,
,,,,,,,21070767,Entire Home/Apt,Budget,60.00%,"$20,805.00",-1.20,,,,,,184716067,Heath,"$26,001.00",1,87.90%,,,,
,,,,,,,8648818,Private Room,Budget,100.00%,"$20,805.00",-1.44,,,,,,277217152,Sandy,"$26,000.00",1,89.00%,,,,
,,,,,,,35227225,Entire Home/Apt,Budget,87.70%,"$20,800.00",-1.39,,,,,,10663373,Kristen-Poli,"$25,944.00",1,75.60%,,,,
,,,,,,,25130246,Private Room,Budget,57.00%,"$20,800.00",-1.29,,,,,,5488673,Michelle,"$25,926.00",1,81.60%,,,,
,,,,,,,32498162,Entire Home/Apt,Budget,57.50%,"$20,790.00",2.48,,,,,,87930332,Chris,"$25,920.00",1,52.60%,,,,
,,,,,,,19292818,Entire Home/Apt,Budget,34.50%,"$20,790.00",1.23,,,,,,39939354,Roberto,"$25,920.00",1,52.60%,,,,
,,,,,,,10090735,Entire Home/Apt,Budget,57.50%,"$20,790.00",3.10,,,,,,223741555,Mengxiao,"$25,915.00",1,100.00%,,,,
,,,,,,,42135273,Private Room,Budget,75.90%,"$20,775.00",-0.64,,,,,,61125261,Anna,"$25,915.00",1,100.00%,,,,
,,,,,,,22981282,Private Room,Budget,75.90%,"$20,775.00",-0.96,,,,,,12575162,Dan,"$25,915.00",1,100.00%,,,,
,,,,,,,29389616,Entire Home/Apt,Premium,9.30%,"$20,774.00",1.04,,,,,,3163428,Veronika,"$25,915.00",1,100.00%,,,,
,,,,,,,20961907,Entire Home/Apt,Average,17.00%,"$20,770.00",-1.02,,,,,,2702590,Amy Josh,"$25,905.00",1,43.00%,,,,
,,,,,,,31057117,Private Room,Budget,68.50%,"$20,750.00",2.17,,,,,,82510487,Jeffrey,"$25,900.00",1,20.30%,,,,
,,,,,,,26999781,Entire Home/Apt,Budget,52.60%,"$20,736.00",-1.18,,,,,,287157561,Anton,"$25,896.00",1,91.00%,,,,
,,,,,,,16840829,Entire Home/Apt,Average,40.50%,"$20,720.00",2.24,,,,,,15864252,Walker Luxury Vacation,"$25,884.00",1,4.90%,,,,
,,,,,,,39769551,Entire Home/Apt,Budget,56.70%,"$20,700.00",-1.10,,,,,,315417186,Yessica,"$25,854.00",1,51.00%,,,,
,,,,,,,23940029,Private Room,Budget,75.60%,"$20,700.00",-1.45,,,,,,216291580,Dan,"$25,854.00",1,76.20%,,,,
,,,,,,,19592087,Private Room,Budget,75.60%,"$20,700.00",-0.29,,,,,,21751074,Aaron,"$25,839.00",1,71.50%,,,,
,,,,,,,15858101,Private Room,Budget,75.60%,"$20,700.00",0.51,,,,,,79154430,Bruce,"$25,833.00",1,64.90%,,,,
,,,,,,,10013750,Private Room,Budget,75.60%,"$20,700.00",-0.88,,,,,,341640025,Peyton,"$25,800.00",1,70.70%,,,,
,,,,,,,4601778,Private Room,Budget,75.60%,"$20,700.00",-0.87,,,,,,296334798,Erick,"$25,800.00",1,58.90%,,,,
,,,,,,,43445053,Entire Home/Apt,Average,28.80%,"$20,685.00",0.63,,,,,,131377646,Anya,"$25,785.00",1,52.30%,,,,
,,,,,,,35286556,Entire Home/Apt,Budget,87.10%,"$20,670.00",2.88,,,,,,19862340,Debbie,"$25,776.00",1,39.50%,,,,
,,,,,,,23379959,Entire Home/Apt,Premium,9.90%,"$20,664.00",1.38,,,,,,20207995,Patrick And Lorne,"$25,764.00",1,61.90%,,,,
,,,,,,,43702545,Entire Home/Apt,Budget,77.50%,"$20,659.00",-0.98,,,,,,72126338,Gary,"$25,754.00",1,89.30%,,,,
,,,,,,,35125418,Entire Home/Apt,Budget,41.90%,"$20,655.00",-1.26,,,,,,344405348,Clif,"$25,750.00",1,56.40%,,,,
,,,,,,,31831840,Entire Home/Apt,Budget,63.60%,"$20,648.00",-0.72,,,,,,43793840,Mark,"$25,748.00",2,15.90%,,,,
,,,,,,,42348175,Entire Home/Apt,Budget,76.40%,"$20,646.00",-0.74,,,,,,6137030,Stephen,"$25,725.00",3,67.13%,,,,
,,,,,,,38988840,Private Room,Average,20.30%,"$20,646.00",-0.96,,,,,,224852315,Peggy,"$25,721.00",1,79.20%,,,,
,,,,,,,19912347,Private Room,Budget,94.20%,"$20,640.00",5.89,,,,,,66918795,Mandi,"$25,700.00",1,70.40%,,,,
,,,,,,,43468886,Entire Home/Apt,Premium,9.30%,"$20,638.00",3.72,,,,,,2754788,Amaris,"$25,670.00",1,82.70%,,,,
,,,,,,,34440793,Private Room,Premium,18.90%,"$20,631.00",-0.14,,,,,,180229734,Noah,"$25,668.00",1,75.60%,,,,
,,,,,,,4743300,Private Room,Premium,18.90%,"$20,631.00",-0.13,,,,,,118412894,Wendy,"$25,665.00",1,16.20%,,,,
,,,,,,,42387243,Private Room,Budget,75.30%,"$20,625.00",-1.36,,,,,,199921966,Russ,"$25,650.00",1,93.70%,,,,
,,,,,,,41529662,Private Room,Budget,75.30%,"$20,625.00",-1.17,,,,,,1208485,Caitlin,"$25,641.00",1,63.30%,,,,
,,,,,,,21213095,Private Room,Budget,75.30%,"$20,625.00",1.24,,,,,,279913866,William,"$25,620.00",1,28.80%,,,,
,,,,,,,13330903,Private Room,Budget,75.30%,"$20,625.00",-1.38,,,,,,89769986,Alan,"$25,593.00",3,54.77%,,,,
,,,,,,,4824642,Entire Home/Apt,Budget,24.70%,"$20,610.00",0.72,,,,,,349191645,Mint House At The Reserve,"$25,584.00",1,33.70%,,,,
,,,,,,,23380002,Entire Home/Apt,Budget,29.90%,"$20,601.00",0.02,,,,,,41842769,Resortica,"$25,576.00",3,14.53%,,,,
,,,,,,,17489592,Entire Home/Apt,Budget,56.40%,"$20,600.00",-0.87,,,,,,8988085,Ammos,"$25,576.00",1,50.40%,,,,
,,,,,,,20862707,Private Room,Budget,80.50%,"$20,580.00",0.16,,,,,,20086738,Kristin Page,"$25,575.00",1,75.30%,,,,
,,,,,,,32314415,Private Room,Budget,51.20%,"$20,570.00",-1.37,,,,,,1598925,Courtney,"$25,560.00",1,77.80%,,,,
,,,,,,,21946665,Entire Home/Apt,Budget,51.20%,"$20,570.00",2.85,,,,,,328604591,Robert,"$25,550.00",1,100.00%,,,,
,,,,,,,19494240,Entire Home/Apt,Budget,51.20%,"$20,570.00",5.77,,,,,,282211570,Sedo,"$25,550.00",1,100.00%,,,,
,,,,,,,26925348,Entire Home/Apt,Budget,37.50%,"$20,550.00",-0.70,,,,,,264356861,Abdelrahman,"$25,550.00",1,100.00%,,,,
,,,,,,,38980221,Entire Home/Apt,Budget,87.90%,"$20,544.00",-0.79,,,,,,249551926,Cintia,"$25,550.00",1,100.00%,,,,
,,,,,,,29160874,Private Room,Budget,78.10%,"$20,520.00",-1.39,,,,,,231109405,Danilo,"$25,550.00",1,100.00%,,,,
,,,,,,,5070640,Entire Home/Apt,Budget,62.50%,"$20,520.00",7.58,,,,,,230030950,Tori,"$25,550.00",1,100.00%,,,,
,,,,,,,36838192,Entire Home/Apt,Premium,27.70%,"$20,503.00",0.90,,,,,,212665168,Deepa,"$25,550.00",1,100.00%,,,,
,,,,,,,14807716,Entire Home/Apt,Budget,51.50%,"$20,492.00",-1.20,,,,,,184313579,Francesca,"$25,550.00",1,100.00%,,,,
,,,,,,,26493956,Entire Home/Apt,Premium,28.80%,"$20,475.00",0.64,,,,,,172257710,Ja,"$25,550.00",1,100.00%,,,,
,,,,,,,11700022,Entire Home/Apt,Premium,17.30%,"$20,475.00",-0.69,,,,,,171898221,Mercedes,"$25,550.00",1,100.00%,,,,
,,,,,,,42629440,Entire Home/Apt,Budget,63.00%,"$20,470.00",-1.09,,,,,,167246897,Laura,"$25,550.00",1,100.00%,,,,
,,,,,,,42223418,Private Room,Budget,51.00%,"$20,460.00",-1.29,,,,,,160923266,Mario,"$25,550.00",1,100.00%,,,,
,,,,,,,39388806,Entire Home/Apt,Budget,100.00%,"$20,440.00",2.32,,,,,,158456211,Louis,"$25,550.00",1,100.00%,,,,
,,,,,,,34437405,Private Room,Budget,100.00%,"$20,440.00",0.74,,,,,,131972693,Sa,"$25,550.00",1,100.00%,,,,
,,,,,,,27697491,Entire Home/Apt,Budget,80.00%,"$20,440.00",4.08,,,,,,124537606,Guanyu,"$25,550.00",1,100.00%,,,,
,,,,,,,8133872,Entire Home/Apt,Budget,100.00%,"$20,440.00",5.31,,,,,,106948134,Erik,"$25,550.00",1,100.00%,,,,
,,,,,,,7438254,Private Room,Budget,100.00%,"$20,440.00",-1.08,,,,,,69269694,Juliette Et Mickael,"$25,550.00",1,100.00%,,,,
,,,,,,,42310006,Entire Home/Apt,Budget,52.30%,"$20,437.00",-1.00,,,,,,62763569,Yuting,"$25,550.00",1,100.00%,,,,
,,,,,,,28845594,Entire Home/Apt,Budget,47.40%,"$20,414.00",-1.11,,,,,,62048197,Adetoro,"$25,550.00",1,100.00%,,,,
,,,,,,,22429702,Entire Home/Apt,Budget,18.60%,"$20,400.00",-0.32,,,,,,61339221,Rylie,"$25,550.00",1,100.00%,,,,
,,,,,,,13263097,Entire Home/Apt,Premium,9.30%,"$20,400.00",-0.09,,,,,,61322822,Ira,"$25,550.00",1,100.00%,,,,
,,,,,,,44553085,Private Room,Budget,99.70%,"$20,384.00",0.96,,,,,,55726275,Sarsha,"$25,550.00",1,100.00%,,,,
,,,,,,,29385780,Private Room,Budget,78.60%,"$20,377.00",-0.47,,,,,,52540933,Douglas,"$25,550.00",1,100.00%,,,,
,,,,,,,34255886,Entire Home/Apt,Budget,79.70%,"$20,370.00",2.10,,,,,,52166457,Jacketta,"$25,550.00",1,100.00%,,,,
,,,,,,,7009210,Entire Home/Apt,Average,17.80%,"$20,345.00",-0.61,,,,,,46800409,Nicole,"$25,550.00",1,100.00%,,,,
,,,,,,,40112185,Entire Home/Apt,Budget,34.80%,"$20,320.00",-1.11,,,,,,43045034,Thuy,"$25,550.00",1,100.00%,,,,
,,,,,,,24761186,Entire Home/Apt,Average,23.30%,"$20,315.00",-0.54,,,,,,34799250,Jessica,"$25,550.00",1,100.00%,,,,
,,,,,,,29651522,Entire Home/Apt,Budget,55.60%,"$20,300.00",-1.25,,,,,,29738970,Semih,"$25,550.00",1,100.00%,,,,
,,,,,,,25348299,Entire Home/Apt,Budget,55.60%,"$20,300.00",-0.77,,,,,,28723165,Taylor Tee,"$25,550.00",1,100.00%,,,,
,,,,,,,19735923,Private Room,Budget,76.20%,"$20,294.00",2.48,,,,,,26325723,Suzana,"$25,550.00",1,100.00%,,,,
,,,,,,,17649947,Entire Home/Apt,Budget,86.80%,"$20,288.00",3.87,,,,,,24725010,Julia,"$25,550.00",1,100.00%,,,,
,,,,,,,32114321,Private Room,Budget,61.60%,"$20,250.00",-0.44,,,,,,23254455,Chandra,"$25,550.00",1,100.00%,,,,
,,,,,,,25457326,Private Room,Budget,63.00%,"$20,240.00",0.56,,,,,,21611602,Jimena,"$25,550.00",1,100.00%,,,,
,,,,,,,29650490,Entire Home/Apt,Average,26.00%,"$20,235.00",2.25,,,,,,20867842,Sarah,"$25,550.00",1,100.00%,,,,
,,,,,,,43087725,Private Room,Budget,85.20%,"$20,215.00",-1.17,,,,,,16499705,John,"$25,550.00",1,100.00%,,,,
,,,,,,,39698234,Entire Home/Apt,Budget,53.70%,"$20,188.00",-0.68,,,,,,16356409,Brit,"$25,550.00",1,100.00%,,,,
,,,,,,,32074671,Private Room,Budget,56.40%,"$20,188.00",-1.19,,,,,,14938610,Finnley,"$25,550.00",1,100.00%,,,,
,,,,,,,38902052,Entire Home/Apt,Budget,32.30%,"$20,178.00",0.27,,,,,,14366732,Kali,"$25,550.00",1,100.00%,,,,
,,,,,,,43595605,Entire Home/Apt,Budget,76.70%,"$20,160.00",3.00,,,,,,14320459,Hillary,"$25,550.00",1,100.00%,,,,
,,,,,,,37841393,Entire Home/Apt,Budget,34.50%,"$20,160.00",1.73,,,,,,14018935,James,"$25,550.00",1,100.00%,,,,
,,,,,,,3303145,Entire Home/Apt,Premium,30.70%,"$20,160.00",4.05,,,,,,12333738,Jackie,"$25,550.00",1,100.00%,,,,
,,,,,,,40596672,Entire Home/Apt,Premium,7.10%,"$20,150.00",0.29,,,,,,12233355,Renata,"$25,550.00",1,100.00%,,,,
,,,,,,,38314895,Entire Home/Apt,Budget,80.00%,"$20,148.00",-0.03,,,,,,12120704,Isaak,"$25,550.00",1,100.00%,,,,
,,,,,,,5783899,Private Room,Budget,75.60%,"$20,148.00",7.81,,,,,,11188502,Sherry,"$25,550.00",1,100.00%,,,,
,,,,,,,42092950,Entire Home/Apt,Budget,55.10%,"$20,100.00",2.53,,,,,,10998764,Amilcar,"$25,550.00",1,100.00%,,,,
,,,,,,,33173396,Entire Home/Apt,Budget,55.60%,"$20,097.00",1.73,,,,,,10199059,Manasvi,"$25,550.00",1,100.00%,,,,
,,,,,,,17266124,Entire Home/Apt,Budget,77.50%,"$20,093.00",9.02,,,,,,10183433,Oskar,"$25,550.00",1,100.00%,,,,
,,,,,,,41726730,Private Room,Budget,100.00%,"$20,075.00",-1.39,,,,,,9543423,Eunice,"$25,550.00",1,100.00%,,,,
,,,,,,,40642105,Private Room,Budget,100.00%,"$20,075.00",-0.78,,,,,,9501646,Laura,"$25,550.00",1,100.00%,,,,
,,,,,,,40003458,Entire Home/Apt,Budget,100.00%,"$20,075.00",-1.42,,,,,,7636125,Kristen,"$25,550.00",1,100.00%,,,,
,,,,,,,38291167,Private Room,Budget,100.00%,"$20,075.00",-1.38,,,,,,7223692,Ilaria,"$25,550.00",1,100.00%,,,,
,,,,,,,36845498,Private Room,Budget,100.00%,"$20,075.00",-1.34,,,,,,6940368,Attya,"$25,550.00",1,100.00%,,,,
,,,,,,,36564522,Entire Home/Apt,Budget,100.00%,"$20,075.00",1.86,,,,,,6322888,Davida,"$25,550.00",1,100.00%,,,,
,,,,,,,35667379,Private Room,Budget,100.00%,"$20,075.00",-0.94,,,,,,5245797,Sarah,"$25,550.00",1,100.00%,,,,
,,,,,,,34945595,Private Room,Budget,100.00%,"$20,075.00",-1.21,,,,,,4938247,Kevin,"$25,550.00",1,100.00%,,,,
,,,,,,,26946697,Private Room,Budget,100.00%,"$20,075.00",-1.48,,,,,,2080047,Lawrence,"$25,550.00",1,100.00%,,,,
,,,,,,,24081898,Private Room,Budget,100.00%,"$20,075.00",-1.29,,,,,,1892706,Madeleine,"$25,550.00",1,100.00%,,,,
,,,,,,,24017677,Private Room,Budget,100.00%,"$20,075.00",-1.15,,,,,,1737240,Alex,"$25,550.00",1,100.00%,,,,
,,,,,,,23539929,Private Room,Budget,100.00%,"$20,075.00",-1.45,,,,,,87494,Kevin,"$25,550.00",1,100.00%,,,,
,,,,,,,23273676,Private Room,Budget,100.00%,"$20,075.00",0.89,,,,,,20073392,Frances Patrick,"$25,543.00",1,78.60%,,,,
,,,,,,,20331502,Private Room,Budget,100.00%,"$20,075.00",-1.39,,,,,,297244394,Jerry,"$25,542.00",1,54.20%,,,,
,,,,,,,19365218,Private Room,Budget,100.00%,"$20,075.00",-1.43,,,,,,91186260,Jessie,"$25,532.00",3,87.13%,,,,
,,,,,,,18855394,Private Room,Budget,100.00%,"$20,075.00",-1.46,,,,,,303024652,Mark,"$25,520.00",1,60.30%,,,,
,,,,,,,17241988,Entire Home/Apt,Budget,100.00%,"$20,075.00",0.80,,,,,,59527186,Blake,"$25,515.00",1,86.30%,,,,
,,,,,,,16692738,Private Room,Budget,100.00%,"$20,075.00",-0.07,,,,,,128630184,Marvin,"$25,480.00",1,99.70%,,,,
,,,,,,,16053938,Shared Room,Budget,100.00%,"$20,075.00",-0.43,,,,,,47475013,Hamilton,"$25,449.00",1,14.00%,,,,
,,,,,,,15787497,Private Room,Budget,100.00%,"$20,075.00",-1.26,,,,,,330366693,Yuki,"$25,440.00",1,29.00%,,,,
,,,,,,,14162852,Shared Room,Budget,100.00%,"$20,075.00",-1.08,,,,,,319993447,We Are K N,"$25,440.00",1,26.30%,,,,
,,,,,,,13885982,Private Room,Budget,100.00%,"$20,075.00",-1.44,,,,,,247641760,Enia,"$25,440.00",1,58.10%,,,,
,,,,,,,13466581,Private Room,Budget,100.00%,"$20,075.00",0.89,,,,,,3695529,Jenni,"$25,440.00",1,58.10%,,,,
,,,,,,,13377893,Private Room,Budget,100.00%,"$20,075.00",-1.30,,,,,,53967105,Neil,"$25,392.00",1,75.60%,,,,
,,,,,,,13317425,Private Room,Budget,100.00%,"$20,075.00",-0.89,,,,,,20590638,Karoline,"$25,392.00",1,75.60%,,,,
,,,,,,,12831310,Private Room,Budget,100.00%,"$20,075.00",-1.47,,,,,,221421926,Descansa Management,"$25,340.00",1,49.60%,,,,
,,,,,,,12681210,Private Room,Budget,100.00%,"$20,075.00",-1.40,,,,,,24563934,Brandon,"$25,315.00",1,16.70%,,,,
,,,,,,,12385369,Entire Home/Apt,Budget,100.00%,"$20,075.00",-1.22,,,,,,41266357,Frank,"$25,312.00",1,61.40%,,,,
